context,group_num,hierarchy,user_id,article_id,created_at
blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin,1,1,alossmana,10,10:00.0
est phasellus sit amet erat nulla tempus vivamus in felis eu,1,1,tkesterton0,43,59:00.0
maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat,2,1,rsuddock6,7,24:00.0
id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed,5,2,zdillistone4,79,13:00.0
eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum,2,2,kohoolahan1,92,40:00.0
massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet,5,2,prenhardj,32,40:00.0
in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec,3,1,hantonsen7,72,19:00.0
eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut,3,2,dbohey2,38,54:00.0
id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio,5,1,zdillistone4,82,17:00.0
curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac,5,2,pyork9,61,28:00.0
feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl,4,2,pfallowsi,63,51:00.0
at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam,4,2,hbladge8,28,56:00.0
molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis,1,1,arealf,50,04:00.0
ullamcorper augue a suscipit nulla elit ac nulla sed vel,5,2,mhallgalleye,88,35:00.0
et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna,5,2,pyork9,75,22:00.0
nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,3,2,hantonsen7,51,35:00.0
in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,4,2,mstannah3,67,25:00.0
faucibus cursus urna ut tellus nulla ut erat id mauris,3,2,hantonsen7,79,34:00.0
felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,1,1,alossmana,53,11:00.0
viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum,2,1,bswinleyg,67,03:00.0
amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum,2,2,rsuddock6,3,53:00.0
tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros,1,2,arealf,37,02:00.0
nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,4,2,hbladge8,59,02:00.0
pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,1,2,arealf,73,25:00.0
sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,5,1,zdillistone4,96,21:00.0
sem praesent id massa id nisl venenatis lacinia aenean sit,4,2,mstannah3,76,34:00.0
nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in,4,1,dspreadd,69,25:00.0
praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus,1,1,dgillison5,33,37:00.0
pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla,5,1,mhallgalleye,7,30:00.0
lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus,1,1,arealf,62,20:00.0
nunc rhoncus dui vel sem sed sagittis nam congue risus semper,4,2,hbladge8,36,48:00.0
interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at,2,2,rsuddock6,90,33:00.0
tortor risus dapibus augue vel accumsan tellus nisi eu orci,5,2,mhallgalleye,31,37:00.0
lacinia erat vestibulum sed magna at nunc commodo placerat praesent,5,1,pyork9,21,55:00.0
proin at turpis a pede posuere nonummy integer non velit,4,1,mstannah3,12,45:00.0
sed vel enim sit amet nunc viverra dapibus nulla suscipit,4,1,hbladge8,27,06:00.0
leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu,5,1,prenhardj,4,16:00.0
mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,2,2,bswinleyg,13,10:00.0
nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,5,1,prenhardj,52,37:00.0
justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla,2,2,bswinleyg,76,11:00.0
in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi,3,2,hantonsen7,36,14:00.0
maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus,4,2,dspreadd,83,05:00.0
integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices,2,1,kohoolahan1,94,41:00.0
nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,1,1,dgillison5,30,32:00.0
nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat,2,1,blerouxb,37,57:00.0
lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,2,2,kohoolahan1,60,32:00.0
quisque arcu libero rutrum ac lobortis vel dapibus at diam nam,3,1,wferrarelloc,87,21:00.0
rhoncus sed vestibulum sit amet cursus id turpis integer aliquet,3,1,ochettleh,52,17:00.0
iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum,3,1,dbohey2,52,23:00.0
congue risus semper porta volutpat quam pede lobortis ligula sit,1,2,alossmana,13,39:00.0
eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget,3,2,wferrarelloc,90,21:00.0
eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus,3,1,ochettleh,3,15:00.0
vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,1,2,alossmana,40,36:00.0
id ornare imperdiet sapien urna pretium nisl ut volutpat sapien,1,2,dgillison5,23,16:00.0
magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum,2,1,blerouxb,12,52:00.0
luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,5,1,pyork9,59,44:00.0
lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt,2,2,rsuddock6,26,20:00.0
habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,5,1,mhallgalleye,98,40:00.0
tellus in sagittis dui vel nisl duis ac nibh fusce,1,2,dgillison5,78,34:00.0
malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim,3,2,ochettleh,100,15:00.0
turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,3,1,wferrarelloc,22,07:00.0
interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing,4,1,dspreadd,88,09:00.0
a odio in hac habitasse platea dictumst maecenas ut massa,4,2,mstannah3,96,01:00.0
pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien,2,1,kohoolahan1,60,13:00.0
