URL,article_id
http://dummyimage.com/228x100.png/5fa2dd/ffffff,43
http://dummyimage.com/126x100.png/5fa2dd/ffffff,94
http://dummyimage.com/103x100.png/cc0000/ffffff,52
http://dummyimage.com/114x100.png/cc0000/ffffff,12
http://dummyimage.com/140x100.png/cc0000/ffffff,96
http://dummyimage.com/209x100.png/ff4444/ffffff,33
http://dummyimage.com/246x100.png/ff4444/ffffff,7
http://dummyimage.com/105x100.png/5fa2dd/ffffff,72
http://dummyimage.com/138x100.png/5fa2dd/ffffff,27
http://dummyimage.com/106x100.png/dddddd/000000,21
http://dummyimage.com/106x100.png/dddddd/000000,53
http://dummyimage.com/248x100.png/5fa2dd/ffffff,12
http://dummyimage.com/109x100.png/5fa2dd/ffffff,22
http://dummyimage.com/101x100.png/5fa2dd/ffffff,88
http://dummyimage.com/217x100.png/dddddd/000000,7
http://dummyimage.com/238x100.png/5fa2dd/ffffff,62
http://dummyimage.com/150x100.png/5fa2dd/ffffff,67
http://dummyimage.com/236x100.png/5fa2dd/ffffff,51
http://dummyimage.com/245x100.png/5fa2dd/ffffff,34
http://dummyimage.com/218x100.png/5fa2dd/ffffff,4
http://dummyimage.com/175x100.png/5fa2dd/ffffff,98
http://dummyimage.com/250x100.png/dddddd/000000,60
http://dummyimage.com/232x100.png/5fa2dd/ffffff,83
http://dummyimage.com/204x100.png/ff4444/ffffff,76
http://dummyimage.com/187x100.png/5fa2dd/ffffff,13
http://dummyimage.com/155x100.png/ff4444/ffffff,23
http://dummyimage.com/175x100.png/ff4444/ffffff,26
http://dummyimage.com/193x100.png/cc0000/ffffff,51
http://dummyimage.com/133x100.png/cc0000/ffffff,28
http://dummyimage.com/129x100.png/cc0000/ffffff,75
http://dummyimage.com/215x100.png/dddddd/000000,40
http://dummyimage.com/137x100.png/cc0000/ffffff,23
http://dummyimage.com/177x100.png/dddddd/000000,90
http://dummyimage.com/190x100.png/cc0000/ffffff,83
http://dummyimage.com/118x100.png/ff4444/ffffff,88
http://dummyimage.com/143x100.png/ff4444/ffffff,37
http://dummyimage.com/144x100.png/5fa2dd/ffffff,76
http://dummyimage.com/119x100.png/5fa2dd/ffffff,100
http://dummyimage.com/208x100.png/dddddd/000000,44
http://dummyimage.com/146x100.png/dddddd/000000,65
http://dummyimage.com/138x100.png/5fa2dd/ffffff,8
http://dummyimage.com/145x100.png/5fa2dd/ffffff,2
http://dummyimage.com/180x100.png/ff4444/ffffff,1
http://dummyimage.com/124x100.png/dddddd/000000,96
http://dummyimage.com/111x100.png/cc0000/ffffff,79
http://dummyimage.com/165x100.png/dddddd/000000,78
http://dummyimage.com/227x100.png/cc0000/ffffff,3
http://dummyimage.com/176x100.png/5fa2dd/ffffff,36
http://dummyimage.com/128x100.png/ff4444/ffffff,36
http://dummyimage.com/223x100.png/dddddd/000000,61
http://dummyimage.com/151x100.png/ff4444/ffffff,21
http://dummyimage.com/218x100.png/cc0000/ffffff,92
http://dummyimage.com/133x100.png/5fa2dd/ffffff,72
http://dummyimage.com/233x100.png/ff4444/ffffff,32
http://dummyimage.com/141x100.png/5fa2dd/ffffff,31
http://dummyimage.com/249x100.png/5fa2dd/ffffff,73
http://dummyimage.com/216x100.png/dddddd/000000,13
http://dummyimage.com/113x100.png/ff4444/ffffff,13
http://dummyimage.com/201x100.png/dddddd/000000,63
http://dummyimage.com/109x100.png/ff4444/ffffff,32
http://dummyimage.com/208x100.png/ff4444/ffffff,33
http://dummyimage.com/118x100.png/cc0000/ffffff,60
http://dummyimage.com/155x100.png/cc0000/ffffff,38
http://dummyimage.com/161x100.png/cc0000/ffffff,67
http://dummyimage.com/194x100.png/5fa2dd/ffffff,82
http://dummyimage.com/101x100.png/cc0000/ffffff,30
http://dummyimage.com/198x100.png/dddddd/000000,74
http://dummyimage.com/198x100.png/cc0000/ffffff,75
http://dummyimage.com/108x100.png/dddddd/000000,99
http://dummyimage.com/232x100.png/5fa2dd/ffffff,59
http://dummyimage.com/129x100.png/cc0000/ffffff,10
http://dummyimage.com/227x100.png/cc0000/ffffff,37
http://dummyimage.com/219x100.png/dddddd/000000,87
http://dummyimage.com/189x100.png/5fa2dd/ffffff,69
http://dummyimage.com/103x100.png/dddddd/000000,21
http://dummyimage.com/178x100.png/dddddd/000000,50
http://dummyimage.com/184x100.png/5fa2dd/ffffff,58
http://dummyimage.com/131x100.png/cc0000/ffffff,3
http://dummyimage.com/162x100.png/cc0000/ffffff,82
http://dummyimage.com/126x100.png/dddddd/000000,52
http://dummyimage.com/163x100.png/cc0000/ffffff,66
http://dummyimage.com/176x100.png/cc0000/ffffff,92
http://dummyimage.com/102x100.png/ff4444/ffffff,43
http://dummyimage.com/152x100.png/dddddd/000000,76
http://dummyimage.com/249x100.png/cc0000/ffffff,91
http://dummyimage.com/165x100.png/5fa2dd/ffffff,55
http://dummyimage.com/153x100.png/ff4444/ffffff,90
http://dummyimage.com/129x100.png/cc0000/ffffff,79
http://dummyimage.com/247x100.png/cc0000/ffffff,59
http://dummyimage.com/135x100.png/ff4444/ffffff,54
http://dummyimage.com/171x100.png/dddddd/000000,13
http://dummyimage.com/171x100.png/ff4444/ffffff,16
http://dummyimage.com/175x100.png/dddddd/000000,3
http://dummyimage.com/140x100.png/ff4444/ffffff,57
http://dummyimage.com/179x100.png/ff4444/ffffff,98
http://dummyimage.com/111x100.png/ff4444/ffffff,8
http://dummyimage.com/248x100.png/cc0000/ffffff,47
http://dummyimage.com/241x100.png/ff4444/ffffff,52
http://dummyimage.com/172x100.png/5fa2dd/ffffff,35
http://dummyimage.com/139x100.png/cc0000/ffffff,30
